,Name,Borough,Lat,Lon
107,Upper East Side,Manhattan,40.7756,-73.960503
108,Yorkville,Manhattan,40.775902,-73.947098
109,Lenox Hill,Manhattan,40.768101,-73.9589
110,Roosevelt Island,Manhattan,40.762199,-73.949203
111,Upper West Side,Manhattan,40.787701,-73.977097
112,Lincoln Square,Manhattan,40.773499,-73.985298
113,Clinton,Manhattan,40.759102,-73.996101
114,Midtown,Manhattan,40.7547,-73.981697
115,Murray Hill,Manhattan,40.748299,-73.978302
116,Chelsea,Manhattan,40.743999,-74.003098
117,Greenwich Village,Manhattan,40.726898,-73.999901
118,East Village,Manhattan,40.727798,-73.982201
119,Lower East Side,Manhattan,40.7178,-73.980904
120,Tribeca,Manhattan,40.7215,-74.010696
121,Little Italy,Manhattan,40.719299,-73.997299
122,Soho,Manhattan,40.722198,-74.000702
123,West Village,Manhattan,40.734402,-74.006203
124,Manhattan Valley,Manhattan,40.797298,-73.964302
125,Morningside Heights,Manhattan,40.807999,-73.963898
126,Gramercy,Manhattan,40.737202,-73.9814
127,Battery Park City,Manhattan,40.711899,-74.016899
128,Financial District,Manhattan,40.7071,-74.010696
129,Astoria,Queens,40.768501,-73.915703
130,Woodside,Queens,40.7463,-73.901802
131,Jackson Heights,Queens,40.751999,-73.882797
132,Elmhurst,Queens,40.743999,-73.881699
133,Howard Beach,Queens,40.654202,-73.838097
134,Corona,Queens,40.742401,-73.856796
135,Forest Hills,Queens,40.7253,-73.844498
136,Kew Gardens,Queens,40.7052,-73.829803
137,Richmond Hill,Queens,40.697899,-73.831802
138,Flushing,Queens,40.7645,-73.831802
139,Long Island City,Queens,40.750198,-73.939201
140,Sunnyside,Queens,40.7402,-73.926903
141,East Elmhurst,Queens,40.764099,-73.866997
142,Maspeth,Queens,40.725399,-73.896202
143,Ridgewood,Queens,40.708302,-73.901398
144,Glendale,Queens,40.702801,-73.870697
145,Rego Park,Queens,40.729,-73.857803
146,Woodhaven,Queens,40.689899,-73.858101
147,Ozone Park,Queens,40.680698,-73.843201
148,South Ozone Park,Queens,40.668499,-73.809898
149,College Point,Queens,40.784901,-73.843002
150,Whitestone,Queens,40.7813,-73.814201
151,Bayside,Queens,40.765999,-73.7743
152,Auburndale,Queens,40.7617,-73.791801
153,Little Neck,Queens,40.770802,-73.738899
154,Douglaston,Queens,40.7668,-73.7425
155,Glen Oaks,Queens,40.749401,-73.7155
156,Bellerose,Queens,40.7286,-73.7201
157,Kew Gardens Hills,Queens,40.722599,-73.8209
158,Fresh Meadows,Queens,40.734402,-73.7827
159,Briarwood,Queens,40.710899,-73.811699
160,Jamaica Center,Queens,40.7047,-73.796898
161,Oakland Gardens,Queens,40.745602,-73.754997
162,Queens Village,Queens,40.718899,-73.738701
163,Hollis,Queens,40.711201,-73.759201
164,South Jamaica,Queens,40.696899,-73.790398
165,St. Albans,Queens,40.694401,-73.758698
166,Rochdale,Queens,40.675201,-73.772598
167,Springfield Gardens,Queens,40.666199,-73.760399
168,Cambria Heights,Queens,40.692799,-73.735298
169,Rosedale,Queens,40.659801,-73.735298
170,Far Rockaway,Queens,40.6031,-73.754997
171,Broad Channel,Queens,40.603001,-73.820099
172,Breezy Point,Queens,40.5574,-73.925499
173,Steinway,Queens,40.775902,-73.902298
174,Beechhurst,Queens,40.792801,-73.804398
175,Bay Terrace,Queens,40.782799,-73.776802
176,Edgemere,Queens,40.5956,-73.7761
177,Arverne,Queens,40.5891,-73.792
178,Rockaway Beach,Queens,40.582802,-73.822403
179,Neponsit,Queens,40.571999,-73.857498
180,Murray Hill,Queens,40.764099,-73.812798
181,Floral Park,Queens,40.741402,-73.708801
182,Holliswood,Queens,40.721001,-73.767097
183,Jamaica Estates,Queens,40.716801,-73.787201
184,Queensboro Hill,Queens,40.744598,-73.825798
185,Hillcrest,Queens,40.723801,-73.7976
186,Ravenswood,Queens,40.7617,-73.931602
187,Lindenwood,Queens,40.663898,-73.849602
188,Laurelton,Queens,40.6679,-73.740303
189,Lefrak City,Queens,40.736099,-73.862503
190,Belle Harbor,Queens,40.576199,-73.853996
191,Rockaway Park,Queens,40.580299,-73.841499
192,Somerville,Queens,40.597698,-73.7966
193,Brookville,Queens,40.66,-73.751801
194,Bellaire,Queens,40.733002,-73.738899
195,North Corona,Queens,40.754101,-73.857498
196,Forest Hills Gardens,Queens,40.7146,-73.841003
197,St. George,Staten Island,40.645,-74.079399
198,New Brighton,Staten Island,40.640598,-74.086998
199,Stapleton,Staten Island,40.6269,-74.077904
200,Rosebank,Staten Island,40.615299,-74.069801
201,West Brighton,Staten Island,40.631901,-74.107201
202,Grymes Hill,Staten Island,40.624199,-74.087196
203,Todt Hill,Staten Island,40.597099,-74.111298
204,South Beach,Staten Island,40.5802,-74.079597
205,Port Richmond,Staten Island,40.633701,-74.129402
206,Mariner's Harbor,Staten Island,40.6325,-74.150101
207,Port Ivory,Staten Island,40.639702,-74.174599
208,Castleton Corners,Staten Island,40.6133,-74.119202
209,New Springville,Staten Island,40.594299,-74.165001
210,Travis,Staten Island,40.5863,-74.190697
211,New Dorp,Staten Island,40.572601,-74.116501
212,Oakwood,Staten Island,40.558498,-74.121597
213,Great Kills,Staten Island,40.5495,-74.1493
214,Eltingville,Staten Island,40.542198,-74.164299
215,Annadale,Staten Island,40.538101,-74.178596
216,Woodrow,Staten Island,40.542,-74.2052
217,Tottenville,Staten Island,40.505299,-74.246597
218,Tompkinsville,Staten Island,40.637299,-74.080597
219,Silver Lake,Staten Island,40.619202,-74.096298
220,Sunnyside,Staten Island,40.612801,-74.097099
221,Ditmas Park,Brooklyn,40.6437,-73.960999
222,Wingate,Brooklyn,40.6609,-73.937202
223,Rugby,Brooklyn,40.655602,-73.926903
224,Park Hill,Staten Island,40.6092,-74.0802
225,Westerleigh,Staten Island,40.621101,-74.133003
226,Graniteville,Staten Island,40.620201,-74.153198
227,Arlington,Staten Island,40.6353,-74.1651
228,Arrochar,Staten Island,40.596298,-74.067101
229,Grasmere,Staten Island,40.598301,-74.076698
230,Old Town,Staten Island,40.596298,-74.087502
231,Dongan Hills,Staten Island,40.588699,-74.096397
232,Midland Beach,Staten Island,40.573502,-74.093498
233,Grant City,Staten Island,40.576199,-74.105904
234,New Dorp Beach,Staten Island,40.564301,-74.104301
235,Bay Terrace,Staten Island,40.554001,-74.139198
236,Huguenot,Staten Island,40.531898,-74.191704
237,Pleasant Plains,Staten Island,40.5247,-74.219803
238,Butler Manor,Staten Island,40.5061,-74.2295
239,Charleston,Staten Island,40.530499,-74.232201
240,Rossville,Staten Island,40.5494,-74.215698
241,Arden Heights,Staten Island,40.549301,-74.185898
242,Greenridge,Staten Island,40.555302,-74.170799
243,Heartland Village,Staten Island,40.5891,-74.158997
244,Chelsea,Staten Island,40.5947,-74.189598
245,Bloomfield,Staten Island,40.605801,-74.187302
246,Bulls Head,Staten Island,40.6096,-74.159401
247,Carnegie Hill,Manhattan,40.7827,-73.9533
248,Noho,Manhattan,40.723301,-73.988403
249,Civic Center,Manhattan,40.715199,-74.005402
250,Midtown South,Manhattan,40.748501,-73.988701
251,Richmond Town,Staten Island,40.569599,-74.134102
252,Shore Acres,Staten Island,40.609699,-74.066704
253,Clifton,Staten Island,40.619202,-74.072601
254,Concord,Staten Island,40.6045,-74.084
255,Emerson Hill,Staten Island,40.6068,-74.097801
256,Randall Manor,Staten Island,40.635601,-74.098099
257,Howland Hook,Staten Island,40.638401,-74.186203
258,Elm Park,Staten Island,40.6301,-74.1418
259,Remsen Village,Brooklyn,40.6521,-73.916702
260,New Lots,Brooklyn,40.662701,-73.885101
261,Paerdegat Basin,Brooklyn,40.631302,-73.902298
262,Mill Basin,Brooklyn,40.616001,-73.915199
263,Jamaica Hills,Queens,40.711498,-73.796501
264,Utopia,Queens,40.733501,-73.7967
265,Pomonok,Queens,40.734901,-73.804901
266,Astoria Heights,Queens,40.770302,-73.894699
267,Claremont Village,Bronx,40.831402,-73.901199
268,Concourse Village,Bronx,40.824799,-73.915802
269,Mount Eden,Bronx,40.8438,-73.916603
270,Mount Hope,Bronx,40.848801,-73.908302
271,Sutton Place,Manhattan,40.7603,-73.9636
272,Hunters Point,Queens,40.743401,-73.953903
273,Turtle Bay,Manhattan,40.751999,-73.967697
274,Tudor City,Manhattan,40.746899,-73.971199
275,Stuyvesant Town,Manhattan,40.730999,-73.974098
276,Flatiron,Manhattan,40.7397,-73.990898
277,Sunnyside Gardens,Queens,40.745701,-73.918198
278,Blissville,Queens,40.737301,-73.932404
279,Fulton Ferry,Brooklyn,40.7033,-73.995499
280,Vinegar Hill,Brooklyn,40.7033,-73.981102
281,Weeksville,Brooklyn,40.674999,-73.930496
282,Broadway Junction,Brooklyn,40.677898,-73.903297
283,Dumbo,Brooklyn,40.703201,-73.9888
284,Manor Heights,Staten Island,40.601799,-74.120598
285,Willowbrook,Staten Island,40.603699,-74.132103
286,Sandy Ground,Staten Island,40.5411,-74.217796
287,Egbertville,Staten Island,40.579102,-74.127296
288,Roxbury,Queens,40.567402,-73.892097
289,Homecrest,Brooklyn,40.598499,-73.959198
290,Middle Village,Queens,40.7164,-73.881104
291,Prince's Bay,Staten Island,40.526299,-74.2015
292,Lighthouse Hill,Staten Island,40.5765,-74.137901
293,Richmond Valley,Staten Island,40.519501,-74.229599
294,Malba,Queens,40.7906,-73.826698
295,Highland Park,Brooklyn,40.681999,-73.890297
296,Madison,Brooklyn,40.609402,-73.948402
297,Bronxdale,Bronx,40.852699,-73.861702
298,Allerton,Bronx,40.865799,-73.859299
299,Kingsbridge Heights,Bronx,40.870399,-73.901497
300,Erasmus,Brooklyn,40.6469,-73.948196
301,Hudson Yards,Manhattan,40.756699,-74.000099
302,Hammels,Queens,40.587299,-73.805496
303,Bayswater,Queens,40.611301,-73.765999
304,Queensbridge,Queens,40.7561,-73.945602
305,Fox Hills,Staten Island,40.617298,-74.081703
